id,pid,date,time,quantity,price,cid,card,reward_account,Store_Type,StoreID,Store_URL,Store_Address,Store_City,Store_Zip,Store_State,Store_Latitude,Store_Longitude,Store_Address Line 1,Store_Address Line 3
bad78090-e88e-40f5-ad75-5329445a739e,176,8/8/19,7:45 AM,11,9722.24,206,fcc08543-ef9e-42a9-b6ac-5b913dfb7290,,Online,1,https://store.example.com,,,,,0,0,,
9ebf4c10-95de-4490-9614-b4dc9f1904e9,220,4/19/19,12:35 PM,19,11941.69,18,44f8a099-74d9-4eae-a45b-4522456cb912,c3f53240-136c-4e0b-8063-6a3e32bf8b5f,Online,1,https://store.example.com,,,,,0,0,,
20578c3c-1b31-44d3-9e3a-edbbdade39d0,237,7/2/21,4:48 AM,15,11397.45,257,ea40b1a1-7484-42d3-b0ad-a149b4f2b5d7,37483d4d-5758-468b-b726-eb52eb978ed5,Online,1,https://store.example.com,,,,,0,0,,
f69b0158-58f4-48ec-ab15-c39260150360,522,8/16/12,10:56 PM,22,16439.94,342,ca34a80a-e3ed-4075-9faa-82845fd05f8b,60555aef-3a70-4216-bc3a-e5f48fb54244,Online,1,https://store.example.com,,,,,0,0,,
93b06e51-bc44-4c5c-b690-c17214ccc5be,183,5/20/15,5:55 PM,25,18927.75,278,762a0179-9eb5-4068-b872-e153744ac933,81eb3dd1-5583-4785-9694-4853906b6f85,Physical Store,7,,6145 Main St,San Jose,95101,CA,37.189396,-121.705327,,"San Jose, CA 95101"
beed44b7-fd78-48f9-bcab-a00be3a8aa8b,160,5/15/15,6:38 PM,8,2177.84,220,5878519f-f679-47fb-9702-9d96f0fc6314,,Physical Store,2,,1242 Main St,New York,10001,NY,40.76296,-73.948462,Main St,"New York, NY 10044"
b35a45e0-caec-49a2-bde8-5a9f3e8d1165,345,10/1/13,11:09 AM,19,17451.31,485,32a93b3e-cfab-4a88-983c-1bd813dc08ce,,Physical Store,7,,6145 Main St,San Jose,95101,CA,37.189396,-121.705327,,"San Jose, CA 95101"
e059d500-271d-45c2-b48d-177d7af7a201,93,2/16/21,7:34 AM,15,12613.05,439,be927c50-720f-4469-88c1-635f94abbc79,2b9b2fa0-97fb-44ab-9e3b-6eda2a283c8f,Online,1,https://store.example.com,,,,,0,0,,
8ec7bc61-8ac2-4e2b-b604-30d6e143783a,67,1/6/22,9:41 PM,4,245.32,20,7203aaca-d0f5-4c0b-93e1-786a5030560e,,Online,1,https://store.example.com,,,,,0,0,,
76fccc4f-96e8-4b2a-8a19-e7c727738e03,342,4/29/22,9:19 PM,13,7418.84,5,7b14102c-d571-41e8-87b7-cea0c2fbd3ef,,Online,1,https://store.example.com,,,,,0,0,,
00de0bb6-9ed1-41f7-b73c-3f8c38645c20,192,10/11/13,1:35 PM,13,6983.08,353,7d236bcf-897c-4d01-9012-150df2927c6d,bd2c665e-d882-479e-9be7-e79d2c2f13c0,Online,1,https://store.example.com,,,,,0,0,,
8ceb5540-a892-40b8-800e-3e777143600a,31,5/5/19,7:18 AM,16,14871.84,125,b0545890-1747-4b17-a670-0b93290f40b7,2ef9f173-ac41-41b3-b823-398924bb56ba,Physical Store,6,,4872 Main St,San Diego,92101,CA,32.692681,-117.126331,Main St,"San Diego, CA 92113"
f4db72ef-9c1d-4572-babe-82eec18420d7,494,2/11/17,1:42 PM,25,2733.75,192,5c05a556-95f6-4452-aa49-dd3661f06f1a,,Physical Store,5,,4146 Main St,Dallas,75201,TX,32.789013,-96.770477,4146 Main St,"Dallas, TX 75226"
dc67914b-b389-4d4f-ad9d-1f9412ad2b29,264,4/5/18,1:50 PM,15,7928.4,483,85ca4238-9ef6-4802-8735-ab4dc860f341,abe84bff-7333-448d-94cf-3b6a5935df49,Physical Store,9,,811 Main St,San Antonio,78201,TX,29.389688,-98.499716,Moon St,"San Antonio, TX 78204"
d34e8a6a-91ea-4200-84d5-2c3f2a6b7021,186,11/9/14,5:50 PM,21,8614.2,16,7ea969ac-2431-4413-b49b-a33b409dad31,cc99775d-8f59-48fb-99c9-aeccf0d8bbf2,Physical Store,6,,4872 Main St,San Diego,92101,CA,32.692681,-117.126331,Main St,"San Diego, CA 92113"
cfef741d-da39-444c-956a-8324a75af71b,479,3/19/14,8:17 PM,18,8846.82,454,573f10ef-68d1-4ed1-a4e0-2fd5510154fc,f14b7542-1524-4150-ab6f-e4ca392a2731,Physical Store,10,,9337 Main St,Houston,77001,TX,29.684004,-95.422516,9337 Main St,"Houston, TX 77025"
32d7408c-fba1-49dc-a6c4-fde7356cfee3,556,9/8/10,11:28 PM,22,3994.1,328,a7444ff0-7ebc-43c1-a606-1ac1c709ef44,1b149004-c782-4bb8-85c2-68eb7ff9fb51,Physical Store,2,,1242 Main St,New York,10001,NY,40.76296,-73.948462,Main St,"New York, NY 10044"
23ac00f6-6414-469c-8354-56c64dbba0c5,224,12/3/10,3:15 PM,6,5717.04,70,815c7214-936e-4108-bde8-c4a71e031710,49b4f798-08c5-4664-af0d-d903345f31e6,Online,1,https://store.example.com,,,,,0,0,,
f4d3a46c-32ef-4cae-8da9-73020796b203,387,12/29/10,12:51 AM,23,21747.88,222,47da335c-71ee-47dc-815c-c1c98c7d513e,f38d0a3d-cd24-44b2-92db-109cc9cd1b01,Online,1,https://store.example.com,,,,,0,0,,
752a4271-b628-4806-92a5-9220c45aafdb,51,4/7/21,6:35 AM,7,4487.21,327,3fc089d4-a19b-4bcd-8b53-a717b31431d1,b53282b2-8053-4657-b572-074e75c2613f,Physical Store,5,,4146 Main St,Dallas,75201,TX,32.789013,-96.770477,4146 Main St,"Dallas, TX 75226"
b9aa5b73-0624-4e9d-91e0-09ea03adcd11,1,10/29/17,9:41 AM,13,7392.58,301,f7535e54-7a2e-4501-bd64-19068cf95c8d,6e66c9fb-1a82-4159-8371-951245da600e,Physical Store,8,,6282 Main St,Philadelphia,19101,PA,40.024802,-75.22152,Main St,"Philadelphia, PA 19127"
97d013fd-b750-4ff3-a460-cfdbde784281,233,1/8/15,4:43 PM,18,14040.18,284,a82cbbca-f8ff-4f7c-af85-7f4b78ee24d5,,Online,1,https://store.example.com,,,,,0,0,,
de4b67c2-0bc4-480b-968a-f6c17c20a0a4,171,1/12/20,10:07 PM,7,3568.11,207,1238a46d-c961-40d7-bb63-390c41840916,2fdf0b76-e7f6-4532-b0b4-0ef2c374ca5e,Physical Store,10,,9337 Main St,Houston,77001,TX,29.684004,-95.422516,9337 Main St,"Houston, TX 77025"
0c1179fa-fac7-4f31-a988-18a53e3892ac,281,11/26/16,1:57 PM,17,1862.52,108,4fa7b337-a239-421e-b7e9-b974ce0dd5f7,476df0e1-ebc2-4cb7-aa88-0c856748f7d5,Physical Store,4,,2472 Main St,Los Angeles,90001,CA,34.0257,-118.267945,2472 Main St,"Los Angeles, CA 90007"
c38fdd84-ac48-48a6-93f6-9a493ce87157,412,8/13/21,11:16 AM,4,2829,66,412d05da-22dd-46bf-a43f-263a1d9ccb4b,c844f0be-0964-43c6-93e1-c4460a3e1d59,Physical Store,3,,2246 Main St,Chicago,60601,IL,41.891245,-87.860773,2246 Main St,"Melrose Park, IL 60160"
cf86bd36-e9d5-4643-89e6-ed7a91fa0ce4,252,12/21/13,7:22 PM,10,7889.2,166,95cfc16e-4df7-4f7e-9446-a1abb1d16195,882eec8c-c61e-453a-a2d3-c645f1e97ad3,Online,1,https://store.example.com,,,,,0,0,,
069be5af-0fb2-432e-a876-6e3d3b15b6ff,330,6/12/15,12:03 PM,16,1122.4,203,7132cb28-7990-4d2e-b5d5-167cacf732a8,881268b5-a90f-4be9-8de4-47d39db8abfc,Online,1,https://store.example.com,,,,,0,0,,
54db4c1b-e72e-4f34-a1b4-d2315b63d3e4,62,12/28/19,11:00 PM,11,7759.07,87,cbbdb1bc-8d98-4bf7-9690-3bf1afa3c0af,1288f612-b6b4-4bc7-9199-d7dcaa222b9d,Online,1,https://store.example.com,,,,,0,0,,
deabc082-a13b-4c86-b603-15b4c5423420,370,12/4/22,3:32 PM,9,5122.62,188,09c32ef8-d025-4c56-8133-3bd9a5504e09,36d0b6ab-fe0f-4923-a798-57379fe3a33c,Physical Store,4,,2472 Main St,Los Angeles,90001,CA,34.0257,-118.267945,2472 Main St,"Los Angeles, CA 90007"
cfc9eaba-3c09-4b72-9c06-e6557bf399b6,82,10/25/17,9:58 AM,6,1516.62,423,152bb0f4-c267-468c-a4f2-a890364032ac,047674c5-d329-4a35-ac9a-ff541256a77e,Online,1,https://store.example.com,,,,,0,0,,
cc86ffa5-00d1-4f4b-8a64-756aeb582a1e,123,10/10/20,1:45 AM,9,7438.41,333,80da1b4b-1892-43bb-b7d7-019f14690603,ebee44bd-4f4b-4836-8e60-b7f2fd1d286d,Physical Store,9,,811 Main St,San Antonio,78201,TX,29.389688,-98.499716,Moon St,"San Antonio, TX 78204"
0436a09c-1964-46cc-8825-ae2e3d6a0f94,456,10/15/14,6:31 AM,24,20645.28,488,c7f4e352-fe0a-4ea7-b4ff-d587c6c7d14c,,Physical Store,7,,6145 Main St,San Jose,95101,CA,37.189396,-121.705327,,"San Jose, CA 95101"
71eafd16-6aea-4849-8afe-fdac1c6465e0,80,4/19/20,2:13 PM,8,7227.44,490,dba252f3-f92f-44da-b171-f7140e5561a3,54b2abab-b0c7-474b-9183-dad53aab4974,Online,1,https://store.example.com,,,,,0,0,,
